Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot79,"Alex",normal,18,Failed,"First in Line","Zone Sandbox_1_MedicalArea_exploration","1","21:48:49","21:49:00",
Bot79,"Alex",normal,18,Completed,"Emercom Checkpoint","Emercom Checkpoint: Objective #1","1","21:49:05","21:49:36",
Bot79,"Alex",normal,18,Active,"Emercom Checkpoint","Emercom Checkpoint: Objective #2","2","21:49:42","N/A",
Bot85,"RaiRaiTheRaichu",easy,17,Active,"Shooting Cans","Zone Sandbox_2_Kord_exploration","1","21:48:55","N/A",
Bot86,"YellowKeyCard",easy,25,Failed,"Skyside Hotel","Skyside Hotel: Objective #2","1","21:48:56","21:50:01",
Bot87,"IcyClawz",hard,2,Pending,"Saving the Mole","Zone Sandbox_5_Laborant_exploration","1","21:48:57","N/A",
Bot88,"mighty_condor",hard,4,Failed,"Saving the Mole","Zone Sandbox_5_Laborant_exploration","1","21:48:58","21:50:35",
Bot89,"SovietWalrus",easy,25,Active,"Saving the Mole","Zone Sandbox_5_DeadGroup_exploration","1","21:48:59","N/A",
Bot90,"Extrenz Arnautov",easy,4,Pending,"TerraGroup Office Upstairs","TerraGroup Office Upstairs: Objective #9","1","21:49:07","N/A",
Bot91,"nidhoeggr",easy,5,Completed,"TerraGroup Garage","TerraGroup Garage: Objective #1","1","21:49:08","21:49:12",
